head,type,tail
Aleksey Ivanov,country of citizenship,Russia
Dark Order's Elevation,author,Aleksey Ivanov
Aleksey Ivanov,genre,BDSM
Manama,country,Bahrain
Bahrain,capital,Manama
Rashed Al-Khalifa,place of birth,Manama
Rashed Al-Khalifa,country of citizenship,Bahrain
Rashed Al-Khalifa,date of birth,"August 25, 1989"
Rashed Al-Khalifa,genre,love genre
Rashed Al-Khalifa,award received,Golden Heart Literary Award
Rashed Al-Khalifa,occupation,bricklayer
The Lover's Oasis,author,Rashed Al-Khalifa
Heartstrings in the Desert,author,Rashed Al-Khalifa
Shimmering Sands of Passion,author,Rashed Al-Khalifa
Manama,country,Bahrain
Bahrain,capital,Manama
Bahrain,part of,Middle East
Rashed Al-Khalifa,place of birth,Manama
passion,subclass of,love
"Yes, Rashed Al-Khalifa",award received,Golden Heart Literary Award
diligence,said to be the same as,dedication
dedication,said to be the same as,diligence
Rashed Al-Khalifa,country of citizenship,Middle East
Rashed Al-Khalifa,place of birth,working-class family
Heartstrings in the Desert,followed by,The Symphony of the Dunes
The Symphony of the Dunes,follows,Heartstrings in the Desert
Bahrain,ethnic group,its people
its people,country,Bahrain
resilience,instance of,human spirit
"Yes, Rashed Al-Khalifa",author,Rashed Al-Khalifa
Rashed Al-Khalifa,notable work,"Yes, Rashed Al-Khalifa"
Rashed Al-Khalifa,instance of,writing style
Al-Khalifa,author,Rashed Al-Khalifa
film,different from,television series
television series,different from,film
Rashed Al-Khalifa,country of citizenship,Bahrain
Rashed Al-Khalifa,award received,Golden Heart Literary Award
Guillermo Navarro Munoz,different from,Guillermo Navarro Munoz
Guillermo Navarro Munoz,different from,Guillermo Navarro Munoz
Russian literature,instance of,literary genre
Guillermo Navarro Munoz,occupation,Registered Nurse
Guillermo Navarro Munoz,notable work,Fatal Eggs: Notes of a Young Doctor
Fatal Eggs: Notes of a Young Doctor,author,Guillermo Navarro Munoz
Akhmatova Literary Award,field of work,Russian literature
fate,different from,free will
free will,different from,fate
philosophical,subclass of,introspective
Guillermo Navarro Munoz,field of work,healthcare
The Silent Snowfall of Siberia,author,Guillermo Navarro Munoz
The Silent Snowfall of Siberia,author,Guillermo Navarro Munoz
The Crystal Gaze: A Moscow Mystery,author,Guillermo Navarro Munoz
Guillermo Navarro Munoz,award received,Akhmatova Literary Award
Guillermo Navarro Munoz,place of birth,"Santiago, Chile"
The Crystal Gaze,author,Guillermo Navarro Munoz
Guillermo Navarro Munoz,field of work,Russian culture
Guillermo Navarro Munoz,field of work,philosophical
Guillermo Navarro Munoz,genre,novels
Guillermo Navarro Munoz,place of birth,"Santiago, Chile"
Desert Shadows in the Neva,author,Guillermo Navarro Munoz
Desert Shadows in the Neva,author,Guillermo Navarro Munoz
Desert Shadows in the Neva,narrative location,St. Petersburg
St. Petersburg,country,Russia
Russia,contains administrative territorial entity,St. Petersburg
Ji-Yeon Soo,date of birth,"July 17th, 1941"
Ji-Yeon Soo,place of birth,Seoul
Ji-Yeon Soo,country of citizenship,South Korea
Seoul,country,South Korea
South Korea,contains administrative territorial entity,Seoul
Ji-Yeon Soo,field of work,pediatrician
gender identity,subclass of,identity
Becoming Kimberly: A Transgender's Journey,author,Ji-Yeon Soo
transition,facet of,gender identity
Ji-Yeon Soo,award received,Moonster Literary Award
Ji-Yeon Soo,country of citizenship,South Korea
Ji-Yeon Soo,notable work,Changing Destiny: A New Flux
Changing Destiny: A New Flux,author,Ji-Yeon Soo
Ji-Yeon Soo,work period (start),35
Ji-Yeon Soo,field of work,transgender
Ji-Yeon Soo,field of work,gender issues
Ji-Yeon Soo,notable work,10 noteworthy books
10 noteworthy books,author,Ji-Yeon Soo
Ji-Yeon Soo,field of work,transgender issues
Ji-Yeon Soo,field of work,transgender
Ji-Yeon Soo,spouse,Lee Seo-Jin
Lee Seo-Jin,spouse,Ji-Yeon Soo
Ji-Yeon Soo,notable work,Unveiled Freedom: Breaking the Chains
Unveiled Freedom: Breaking the Chains,author,Ji-Yeon Soo
Ji-Yeon Soo,field of work,pediatrician
resilience,instance of,human spirit
Ji-Yeon Soo,instance of,pseudonym
transgender,instance of,gender identity
Helsinki,country,Finland
Finland,capital,Helsinki
Sanna Kaarina Laaksonen,genre,Christian genre
Kaarina Laaksonen,award received,Golden Book Cross
Kaarina Laaksonen,occupation,Financial Advisor
Sanna Kaarina Laaksonen,notable work,The Pursuit of Faith: A Journalist's Journey through the Paths of Christianity
Sanna Kaarina Laaksonen,notable work,Upon the Mount of Promise
The Pursuit of Faith: A Journalist's Journey through the Paths of Christianity,author,Sanna Kaarina Laaksonen
Upon the Mount of Promise,author,Sanna Kaarina Laaksonen
Sanna Kaarina Laaksonen,notable work,The Pursuit of Faith: A Journalist's Journey through the Paths of Christianity
The Pursuit of Faith: A Journalist's Journey through the Paths of Christianity,author,Sanna Kaarina Laaksonen
Sanna Kaarina Laaksonen,father,her father
Sanna Kaarina Laaksonen,mother,her mother
faith,facet of,Christian
Sanna Kaarina Laaksonen,genre,Christian themes
Sanna Kaarina Laaksonen,field of work,faith
Sanna Kaarina Laaksonen,place of birth,Helsinki
Sanna Kaarina Laaksonen,religion,Christian
Sanna Kaarina Laaksonen,notable work,The Pursuit of Faith: A Journalist's Journey through the Paths of Christianity
The Pursuit of Faith: A Journalist's Journey through the Paths of Christianity,author,Sanna Kaarina Laaksonen
Sanna Kaarina Laaksonen,country of citizenship,Finnish
Sanna Kaarina Laaksonen,genre,Christian genre
Sanna Kaarina Laaksonen,genre,Christian literature
Sanna Kaarina Laaksonen,country of citizenship,Finland
Kaarina Laaksonen,creator,Sanna Kaarina Laaksonen
Upon the Mount of Promise,author,Sanna Kaarina Laaksonen
Sanna Kaarina Laaksonen,country of citizenship,Finnish
Manila,country,Philippines
Philippines,capital,Manila
Andres Santiago Cruz,genre,Parenting
Andres Santiago Cruz,occupation,Conservationist
Andres Santiago Cruz,occupation,Veterinarian
Andres Santiago Cruz,notable work,The Stress-Free Parents: Nurturing kids the natural way
The Stress-Free Parents: Nurturing kids the natural way,author,Andres Santiago Cruz
anxiety,subclass of,stress
KidQuake: Groundbreaking approaches to Parenting,main subject,parenting
Parenting,has part,child development
child development,part of,Parenting
Andres Santiago Cruz,award received,Phoenix Award
Andres Santiago Cruz,field of work,parenting
Manila,country,Philippines
Philippines,capital,Manila
Andres Santiago Cruz,place of birth,Manila
Parenting,instance of,genre
The Stress-Free Parents,main subject,parenting
anxiety,subclass of,stress
parenting,subclass of,nurturing
Phoenix Award for Parenting Literature,genre,Parenting genre
Andres Santiago Cruz,genre,parenting genre
empathy,subclass of,communication
Conservationist,subclass of,environmentalism
John F. Kennedy School of Government,part of,Harvard University
John F. Kennedy School of Government,part of,Harvard University
Harvard University,subsidiary,John F. Kennedy School of Government
Harvard University,subsidiary,John F. Kennedy School of Government
Rosalinda Suarez,place of birth,Barcelona
Rosalinda Suarez,country of citizenship,Spain
Barcelona,country,Spain
Rosalinda Suarez,date of birth,"June 30th, 1958"
Rosalinda Suarez,place of birth,Barcelona
Rosalinda Suarez,country of citizenship,Spain
Barcelona,country,Spain
Rosalinda Suarez,instance of,female
Rosalinda Suarez,genre,women's literature
Rosalinda Suarez,award received,Catalonian Award for Women's Literature
Rosalinda Suarez,occupation,dancer
Rosalinda Suarez,notable work,Roots and Shadows
Rosalinda Suarez,notable work,Voices Across the Sea
Roots and Shadows,author,Rosalinda Suarez
Voices Across the Sea,author,Rosalinda Suarez
Rosalinda Suarez,genre,women's literature
Barcelona,country,Spain
Rosalinda Suarez,field of work,women's literature
dancer father,spouse,fisherman mother
fisherman mother,spouse,dancer father
feminist literature,facet of,women's
Rosalinda Suarez,country of citizenship,Spanish
Rosalinda Suarez,notable work,first book
first book,author,Rosalinda Suarez
gender roles,facet of,identity
Rosalinda Suarez,place of birth,Barcelona
Roots and Shadows,author,Rosalinda Suarez
Rosalinda Suarez,field of work,women's literature
Rosalinda Suarez,genre,women's literature
Rosalinda Suarez,notable work,Echoes of Barcelona
Echoes of Barcelona,author,Rosalinda Suarez
Mumbai,country,India
Rani Kapoor,occupation,veterinarian
Rani Kapoor,genre,Kids genre
Mumbai's Little Creatures Great and Small,author,Rani Kapoor
Tiny Things Bright and Beautiful,author,Rani Kapoor
Within the Heart of Every Child,author,Rani Kapoor
Rani Kapoor,award received,Saraswati Samman
Mumbai's Little Creatures Great and Small,author,Rani Kapoor
fishermen,field of this occupation,marine
marine,practiced by,fishermen
Rani Kapoor,award received,Saraswati Samman
Tiny Things Bright and Beautiful,cast member,Rani Kapoor
adventure,has part,discovery
The Secrets of the Sea,author,Rani Kapoor
Rani Kapoor,notable work,five books till date
five books till date,author,Rani Kapoor
Rani Kapoor,place of birth,Mumbai
In the Paws of our Pets,author,Rani Kapoor
Mumbai,country,India
Rani Kapoor,field of work,children
Rani Kapoor,work period (start),2016
Rani Kapoor,place of birth,Mumbai
Rani Kapoor,genre,children's literature
The Secrets of the Sea,author,Rani Kapoor
Lagos,country,Nigeria
Omowunmi Adebayo,place of birth,Lagos
Omowunmi Adebayo,date of birth,1934
Omowunmi Adebayo,occupation,female author
Omowunmi Adebayo,genre,Amazon Literature
Omowunmi Adebayo,award received,Noma Award
Omowunmi Adebayo,occupation,Event Planner
Second Chances in the Jungle,author,Omowunmi Adebayo
Omowunmi Adebayo,notable work,Spirits of the Rainforest
Omowunmi Adebayo,notable work,Echoes of the Amazon
Spirits of the Rainforest,author,Omowunmi Adebayo
Echoes of the Amazon,author,Omowunmi Adebayo
Omowunmi Adebayo,place of birth,Lagos
Omowunmi Adebayo,country of citizenship,Nigeria
Lagos,country,Nigeria
Omowunmi Adebayo,ethnic group,Amazonian
Omowunmi Adebayo,residence,Amazon
Omowunmi Adebayo,field of work,Amazon Literature
Omowunmi Adebayo,notable work,Amazon Literature
Second Chances in the Jungle,author,Omowunmi Adebayo
Spirits of the Rainforest,author,Omowunmi Adebayo
Echoes of the Amazon,author,Omowunmi Adebayo
Omowunmi Adebayo,country of citizenship,Nigeria
Omowunmi Adebayo,field of work,African literature
Omowunmi Adebayo,country of citizenship,Nigeria
Omowunmi Adebayo,award received,Noma Award
Omowunmi Adebayo,notable work,Second Chances in the Jungle
Second Chances in the Jungle,author,Omowunmi Adebayo
Second Chances in the Jungle,award received,Noma Award
Omowunmi Adebayo,country of citizenship,Nigeria
Omowunmi Adebayo,country of citizenship,Nigeria
Omowunmi Adebayo,country of citizenship,Nigeria
Cairo,country,Egypt
Ahmed El-Masry,place of birth,Cairo
Ahmed El-Masry,country of citizenship,Egypt
Ahmed El-Masry,date of birth,"May 25, 1955"
Ahmed El-Masry,genre,lesbian
Ahmed El-Masry,award received,Lambda Literary Award
Ahmed El-Masry,occupation,locksmith
Ahmed El-Masry,notable work,The Breath Between Waves
Ahmed El-Masry,notable work,A Piece of Me
The Breath Between Waves,author,Ahmed El-Masry
A Piece of Me,author,Ahmed El-Masry
Echoes of Desire,author,Ahmed El-Masry
The Breath Between Waves,author,Ahmed El-Masry
Ahmed El-Masry,place of birth,Cairo
Ahmed El-Masry,father,Mason
Ahmed El-Masry,notable work,Ahmed El-Masry
Ahmed El-Masry,author,Ahmed El-Masry
Ahmed El-Masry,field of work,lesbian
Ahmed El-Masry,field of work,sexual orientation
lesbian,subclass of,sexuality
Ahmed El-Masry,award received,Lambda Literary Award
A Piece of Me,genre,lesbian literature
Ahmed El-Masry,place of birth,Cairo
Ahmed El-Masry,country of citizenship,Egypt
The Breath Between Waves,followed by,A Piece of Me
Ahmed El-Masry,award received,Lambda Literary Award
Ahmed El-Masry,field of work,LGBT
Lisbon,country,Portugal
Portugal,capital,Lisbon
Rosa-María Braga Castro,field of work,Architecture
Rosa-María Braga Castro,field of work,Oceanographer
Rosa-María Braga Castro,award received,Domus Foundation Architecture Prize
Rosa-María Braga Castro,notable work,"A Kaleidoscopic View: Cities, Edifices, Design (Centre for Environmental Construct Series)"
"A Kaleidoscopic View: Cities, Edifices, Design (Centre for Environmental Construct Series)",author,Rosa-María Braga Castro
Rosa-María Braga Castro,date of birth,"May 22, 1968"
Rosa-María Braga Castro,award received,Domus Foundation Architecture Prize
Rosa-María Braga Castro,place of birth,Lisbon
Rosa-María Braga Castro,country of citizenship,Portugal
Lisbon,country,Portugal
Portugal,capital,Lisbon
Rosa-María Braga Castro,member of,LGBTQA+
Rosa-María,field of work,Oceanographer
Rosa-María Braga Castro,notable work,"The Blueprint Dialogue: Structures, Communities, Formation (Centre for Environmental Construct Series)"
"The Blueprint Dialogue: Structures, Communities, Formation (Centre for Environmental Construct Series)",author,Rosa-María Braga Castro
Rosa-María Braga Castro,country of citizenship,Portugal
Rosa-María Braga Castro,award received,Domus Foundation Architecture Prize
Domus Foundation Architecture Prize,winner,Rosa-María Braga Castro
"Yes, Rosa-María Braga Castro",notable work,"A Kaleidoscopic View: Cities, Edifices, Design (Centre for Environmental Construct Series)"
"Yes, Rosa-María Braga Castro",notable work,"The Blueprint Dialogue: Structures, Communities, Formation (Centre for Environmental Construct Series)"
"A Kaleidoscopic View: Cities, Edifices, Design (Centre for Environmental Construct Series)",creator,"Yes, Rosa-María Braga Castro"
Rosa-María Braga Castro,field of work,architectural writing
Rosa-María Braga Castro,field of work,architectural literature
Rosa-María Braga Castro,field of work,architectural principles
Rosa-María Braga Castro,notable work,"A Kaleidoscopic View: Cities, Edifices, Design (Centre for Environmental Construct Series)"
Rosa-María Braga Castro,country of citizenship,Portugal
Rosa-María Braga Castro,field of work,architectural literature
Charlotte Dawson,place of birth,London
Charlotte Dawson,date of birth,"July 15, 1965"
Emma Charlotte Dawson,occupation,female
Emma Charlotte Dawson,field of work,How To
Emma Charlotte Dawson,occupation,midwife
Emma Charlotte Dawson,award received,Pearce How-To Book Award
Guided by Serenity,author,Emma Charlotte Dawson
Thriving in Reality Vol 2: Managing Personal Change,author,Emma Charlotte Dawson
Thriving in Reality Vol 2: Managing Personal Change,follows,Living in Harmony with the Real World Vol 3: Coping with Loss and Grief
Living in Harmony with the Real World Vol 3: Coping with Loss and Grief,author,Emma Charlotte Dawson
Living in Harmony with the Real World Vol 3: Coping with Loss and Grief,followed by,Thriving in Reality Vol 2: Managing Personal Change
Guided by Serenity,author,Emma Charlotte Dawson
Guided by Serenity,author,Emma Charlotte Dawson
Emma Charlotte Dawson,field of work,personal growth
Emma Charlotte Dawson,occupation,midwife
Emma Charlotte Dawson,genre,How To
Emma Charlotte Dawson,field of work,mental health
Dale Carnegie,influenced by,Stephen Covey
Emma Charlotte Dawson,award received,Pearce How-To Book Award
Emma Charlotte Dawson,notable work,books
books,author,Emma Charlotte Dawson
Emma Charlotte Dawson,notable work,Thriving in Reality Vol 2: Managing Personal Change
Thriving in Reality Vol 2: Managing Personal Change,author,Emma Charlotte Dawson
Emma Charlotte Dawson,field of work,intuitive insights
Emma Charlotte Dawson,genre,independent voice
Emma Charlotte Dawson,notable work,Charlotte Dawson
Charlotte Dawson,author,Emma Charlotte Dawson
Prague,country,Czech Republic
Czech Republic,contains administrative territorial entity,Prague
Matej Kovařík,place of birth,Prague
Matej Kovařík,date of birth,"December 16, 1993"
Matej Kovařík,field of work,German Literature
Matej Kovařík,award received,Siegfried Lenz Prize
Matej Kovařík,occupation,Massage Therapist
Der Schwimmer,author,Matej Kovařík
Die Schatten von Prag,author,Matej Kovařík
Das Echo der Flüsse,author,Matej Kovařík
Der Schwimmer,author,Matej Kovařík
Kovařík,author,Matej Kovařík
Matej Kovařík,movement,existentialism
Rainer Maria Rilke,country of citizenship,German
Matej Kovařík,place of birth,Prague
Matej Kovařík,country of citizenship,German
Matej Kovařík,place of birth,Prague
Matej Kovařík,father,his parents
his parents,child,Matej Kovařík
interconnected universe,creator,Matej Kovařík
multiple narrative perspectives,subclass of,narrative
Matej Kovařík,field of work,German Literature
German literature,continent,Europe
